abandon 放弃
later 后来  
laugh 笑  
laughter 笑声  
law 法律  
lawyer 律师  
lazy 懒惰的  
lead 领导  
leader 领导者  
leaf 叶子  
learn 学习  
least 最少的  
leather 皮革  
leave 离开  
lecture 讲座  
left 左边的  
leg 腿  
legal 合法的  
legend 传奇  
lemon 柠檬  
less 更少的  
lesson 教训  
let 让  
letter 信  
level 水平  
library 图书馆  
lick 舔  
life 生活  
lift 电梯  
light 轻的  
like 喜欢  
likely 可能的  
line 线  
link 联系  
lion 狮子  
lip 嘴唇  
liquid 液体  
list 列表  
listen 听  
litter 垃圾  
little 小的  
live 居住  
lively 活泼的  
living 居住的  
load 装载  
loan 贷款  
local 当地的  
lock 锁  
lonely 孤独的  
long 长的  
look 看  
lose 丢失  
loss 损失  
lot 很多  
loud 大声的  
love 爱  
lovely 可爱的  
luck 运气  
lucky 幸运的  
lunch 午餐  
lung 肺  
machine 机器  
mail 邮件  
main 主要的  
major 主要的  
majority 大多数  
make 制作  
manager 经理  
mankind 人类  
manner 方式  
many 很多的  
map 地图  
mark 标记  
market 市场  
marriage 婚姻  
marry 结婚  
match 比赛  
material 材料  
matter 事情  
math 数学  
matter 物质  
mature 成熟的  
may 可能  
maybe 也许  
meal 一餐  
mean 意味  
meaning 意义  
meanwhile 同时  
measure 测量  
meat 肉  
medicine 药  
medium 媒体  
member 成员  
memory 记忆  
mention 提及  
menu 菜单  
message 信息  
metal 金属  
method 方法  
middle 中间的  
might 可能  
mile 英里  
mind 头脑  
mine 我的  
minute 分钟  
mirror 镜子  
miss 错过  
mission 任务  
mister 先生
narrow 狭窄的  
nation 国家  
national 国家的  
native 本地的  
nature 自然  
naughty 调皮的  
nearby 附近的  
necessary 必要的  
neck 脖子  
need 需要  
neither 也不  
nervous 紧张的  
never 从不  
news 新闻  
newspaper 报纸  
next 下一个  
nice 美好的  
night 晚上  
nightmare 噩梦  
nine 九  
nobody 没有人  
noise 噪音  
normal 正常的  
north 北  
nose 鼻子  
not 不  
note 笔记  
nothing 没有什么  
notice 注意  
novel 小说  
now 现在  
nowadays 现今  
nurse 护士  
nursery 托儿所  
oak 橡树  
obey 服从  
occasion 场合  
ocean 海洋  
offer 提供  
office 办公室  
officer 军官  
official 官方的  
often 经常  
oil 油  
Olympic 奥林匹克的  
omit 省略  
once 曾经  
only 仅仅  
open 打开  
opera 歌剧  
opportunity 机会  
opposite 相反的  
or 或者  
orange 橙色  
order 命令  
ordinary 普通的  
organization 组织  
otherwise 否则  
ought 应该  
our 我们的  
ourselves 我们自己  
out 在外面  
outdoor 户外的  
outside 在外面  
over 在...上方  
overall 总的来说  
own 拥有  
owner 主人  
ox 公牛
package 包裹  
page 页  
paint 绘画  
painter 画家  
painting 绘画作品  
pair 一对  
pants 裤子  
paper 纸  
paperback 平装书  
parcel 包裹  
park 公园  
parking 停车  
partner 伙伴  
party 聚会  
pass 通过  
passenger 乘客  
passport 护照  
pasta 面食  
patient 病人  
pattern 模式  
pay 支付  
payment 支付金额  
peace 和平  
peanut 花生  
pearl 珍珠  
pen 笔  
pencil 铅笔  
people 人  
pepper 胡椒  
percent 百分比  
perfect 完美的  
performance 表演  
period 时期  
permission 许可  
personal 个人的  
physics 物理  
piano 钢琴  
picture 图画  
piece 块  
pity 遗憾  
place 地点  
plan 计划  
plane 飞机  
plant 植物  
plate 盘子  
play 玩  
player 选手  
please 请  
pleasure 愉快  
plus 加上  
police 警察  
policy 政策  
pool 水池  
poor 贫穷的  
popular 流行的  
port 港口  
position 位置  
possible 可能的  
pound 英镑  
power 力量  
pressure 压力  
pretty 漂亮的  
prevent 防止  
price 价格  
pride 自豪  
print 打印  
priority 优先  
prison 监狱  
prize 奖品  
problem 问题  
process 过程  
produce 生产  
product 产品  
professional 专业的  
progress 进步  
promise 承诺  
proper 适当的  
property 财产  
proud 骄傲的  
provide 提供  
publish 出版  
pull 拉  
purpose 目的  
push 推  
put 放
question 问题  
quarter 四分之一  
quick 快的  
quiet 安静的  
quote 引用  
race 比赛  
radio 收音机  
rain 雨  
range 范围  
rate 速率  
rather 相当  
reach 达到  
read 阅读  
ready 准备好的  
real 真的  
reason 原因  
receive 接收  
recent 最近的  
record 记录  
rectify 纠正  
red 红色的  
reduce 减少  
refuse 拒绝  
regard 认为  
remain 保持  
remember 记住  
repair 修理  
repeat 重复  
require 需要  
research 研究  
rest 休息  
restaurant 餐馆  
return 归还  
review 回顾  
reward 奖励  
right 正确的  
ring 戒指  
road 道路  
rock 岩石  
room 房间  
round 圆的  
row 行  
rule 规则  
run 跑  
safe 安全的  
salary 薪水  
sale 销售  
same 相同的  
say 说  
scale 规模  
scene 场景  
schedule 日程  
science 科学  
second 秒  
secret 秘密  
see 看见  
seem 似乎  
select 选择  
sense 感觉  
separate 分开的  
serve 服务  
sex 性别  
shake 摇晃  
share 分享  
sheet 纸张  
shoot 射击  
shop 商店  
short 短的  
show 显示  
shut 关闭  
sick 生病的  
side 边  
sign 标志  
silent 沉默的  
similar 相似的  
simple 简单的  
since 自从  
sing 唱歌  
sister 姐妹  
size 尺寸  
skill 技能  
sleep 睡觉  
slow 慢的  
small 小的  
smile 微笑  
snow 雪  
so 因此  
soft 柔软的  
soldier 士兵  
sorry 抱歉的  
sound 声音  
space 空间  
speak 说话  
special 特别的  
speed 速度  
spend 花费  
sport 运动  
spread 传播  
square 正方形  
stage 阶段  
start 开始  
stay 停留  
step 步骤  
still 仍然  
stop 停止  
story 故事  
straight 直的  
strange 奇怪的  
study 学习  
style 风格  
success 成功  
such 这样的  
support 支持  
sure 确定的  
surprise 惊讶  
swim 游泳  
system 系统  
table 桌子  
take 拿  
talk 谈话  
task 任务  
tax 税  
tea 茶  
teach 教  
team 团队  
tell 告诉  
ten 十  
than 比  
thank 谢谢  
that 那个  
these 这些  
they 他们  
then 然后  
there 那里  
these 这些  
they 他们  
thing 东西  
think 想  
third 第三  
thirty 三十  
this 这个  
those 那些  
though 尽管  
through 通过  
throw 扔  
tie 领带  
time 时间  
tiny 小的  
tired 疲倦的  
today 今天  
together 一起  
tonight 今晚  
too 也  
tool 工具  
tooth 牙齿  
top 顶部  
total 总数  
touch 触摸  
tour 旅游  
town 城镇  
treat 治疗  
tree 树  
true 真实的  
try 尝试  
turn 转动  
tv 电视  
two 二  
type 类型  
up 向上  
use 使用  
usual 通常的  
value 价值  
various 各种各样的  
very 非常  
visit 拜访  
voice 声音  
wait 等待  
walk 走路  
want 想要  
warm 温暖的  
warn 警告  
wash 洗  
watch 观看  
water 水  
way 道路  
we 我们  
weak 弱的  
wear 穿  
weather 天气  
week 星期  
welcome 欢迎  
well 好的  
west 西方的  
what 什么  
when 什么时候  
where 哪里  
whether 是否  
which 哪一个  
while 当...时  
white 白色的  
who 谁  
whole 整个的  
whom 谁（宾格）  
whose 谁的  
why 为什么  
wide 宽的  
wife 妻子  
win 赢  
wind 风  
window 窗户  
wine 酒  
wing 翅膀  
wish 希望  
with 和  
wonder 想知道  
word 单词  
work 工作  
world 世界  
would 将  
write 写  
wrong 错误的  
x-ray X光  
year 年  
yes 是的  
yesterday 昨天  
yet 仍然  
you 你  
young 年轻的  
your 你的  
yourself 你自己  
zero 零  
zoom 缩放
